event_id,announcement_date,effective_date,event_type,added_symbol,removed_symbol,added_security_id,removed_security_id,added_company,removed_company,evidence_strength,source_id,effective_boundary
NDXEVT-0101,,2026-06-22,quarterly_change,ALAB,CHTR,NDXRES-715DE64ACD988795045C,NDXRES-261F19C888520657D936,ALAB (dated security label; legal name enrichment pending),CHTR (dated security label; legal name enrichment pending),PRIMARY_OFFICIAL,NDX-OFFCYCLE-OFFICIAL,PRIOR_TO_MARKET_OPEN
NDXEVT-0102,,2026-06-22,quarterly_change,CRWV,CTSH,NDXRES-FB50C83DDB95020992F7,NDXRES-D5865BFA1A9C2A9BCF92,CRWV (dated security label; legal name enrichment pending),CTSH (dated security label; legal name enrichment pending),PRIMARY_OFFICIAL,NDX-OFFCYCLE-OFFICIAL,PRIOR_TO_MARKET_OPEN
NDXEVT-0103,,2026-06-22,quarterly_change,NBIS,INSM,NDXRES-05DA831C05AF338DD1F4,NDXRES-6DBAA25F444D198ACC75,NBIS (dated security label; legal name enrichment pending),INSM (dated security label; legal name enrichment pending),PRIMARY_OFFICIAL,NDX-OFFCYCLE-OFFICIAL,PRIOR_TO_MARKET_OPEN
NDXEVT-0104,,2026-06-22,quarterly_change,RKLB,VRSK,NDXRES-8A50F0A5892E3BD98353,NDXRES-BA55957252EC99EFF33A,RKLB (dated security label; legal name enrichment pending),VRSK (dated security label; legal name enrichment pending),PRIMARY_OFFICIAL,NDX-OFFCYCLE-OFFICIAL,PRIOR_TO_MARKET_OPEN
NDXEVT-0105,,2026-06-22,quarterly_change,TER,ZS,NDXRES-9CFA33969D0164A49076,NDXRES-A18D05FBC74A6BF339A1,TER (dated security label; legal name enrichment pending),ZS (dated security label; legal name enrichment pending),PRIMARY_OFFICIAL,NDX-OFFCYCLE-OFFICIAL,PRIOR_TO_MARKET_OPEN
