membership_interval_id,research_security_id,security_lineage_label,effective_from,effective_to,start_boundary_semantics,end_boundary_semantics,membership_type,entry_event_id,exit_event_id
NDX-MI-189,NDXRES-E0521C5070E84630BF00,ABNB,2021-12-20,,EXACT,RIGHT_CENSORED,STANDARD,NDXEVT-0050,
NDX-MI-196,NDXRES-EC18A62E81BFACF2F420,SMCI,2024-07-22,2024-12-23,EXACT,EXACT,STANDARD,NDXEVT-0080,NDXEVT-0084
NDX-MI-204,NDXRES-F50266FFCB98091F4907,MSFT,2016-08-01,,WINDOW_CENSORED,RIGHT_CENSORED,STANDARD,OPENING-ANCHOR,
NDX-MI-205,NDXRES-F5C99B8BBBB186750853,GFS,2022-12-19,2025-12-22,EXACT,EXACT,STANDARD,NDXEVT-0065,NDXEVT-0092
NDX-MI-206,NDXRES-FB50C83DDB95020992F7,CRWV,2026-06-22,,EXACT,RIGHT_CENSORED,STANDARD,NDXEVT-0102,
